customer_id,customer_name,city,age,gender
70,Customer 070,Kozhikode,25,Female
71,Customer 071,Chennai,43,Male
72,Customer 072,Kozhikode,20,Female
73,Customer 073,Chennai,32,Male
74,Customer 074,Kochi,38,Female
75,Customer 075,Chennai,64,Male
76,Customer 076,Chennai,65,Female
77,Customer 077,Chennai,25,Male
78,Customer 078,Bengaluru,60,Male
79,Customer 079,Thrissur,22,Male
80,Customer 080,Bengaluru,53,Male
81,Customer 081,Malappuram,58,Male
82,Customer 082,Chennai,60,Male
83,Customer 083,Kannur,28,Female
84,Customer 084,Thrissur,60,Male
85,Customer 085,Kannur,23,Female
86,Customer 086,Kannur,42,Male
87,Customer 087,Kochi,40,Female
88,Customer 088,Kozhikode,33,Male
89,Customer 089,Kozhikode,19,Male
90,Customer 090,Kochi,55,Female
91,Customer 091,Thrissur,34,Male
92,Customer 092,Bengaluru,49,Male
93,Customer 093,Bengaluru,37,Male
94,Customer 094,Thrissur,35,Male
95,Customer 095,Chennai,60,Male
96,Customer 096,Kannur,22,Male
97,Customer 097,Kochi,53,Female
98,Customer 098,Chennai,53,Female
99,Customer 099,Kannur,36,Female
100,Customer 100,Bengaluru,30,Male
101,Customer 101,Kannur,18,Female
102,Customer 102,Kannur,62,Male
103,Customer 103,Kochi,63,Male
104,Customer 104,Kannur,29,Female
105,Customer 105,Chennai,19,Male
106,Customer 106,Malappuram,23,Male
107,Customer 107,Kannur,21,Female
108,Customer 108,Kochi,57,Female
109,Customer 109,Malappuram,60,Female
110,Customer 110,Thrissur,25,Female
111,Customer 111,Hyderabad,53,Female
112,Customer 112,Kozhikode,26,Male
113,Customer 113,Malappuram,35,Female
114,Customer 114,Thrissur,46,Female
115,Customer 115,Hyderabad,52,Male
116,Customer 116,Chennai,59,Male
117,Customer 117,Kochi,20,Male
118,Customer 118,Kozhikode,27,Male
119,Customer 119,Chennai,31,Female
120,Customer 120,Kochi,32,Female
121,Customer 121,Chennai,65,Other
122,Customer 122,Malappuram,55,Male
123,Customer 123,Hyderabad,33,Male
124,Customer 124,Malappuram,64,Female
125,Customer 125,Thrissur,41,Male
126,Customer 126,Bengaluru,42,Male
127,Customer 127,Kozhikode,38,Female
128,Customer 128,Kannur,24,Male
129,Customer 129,Kannur,62,Male
130,Customer 130,Chennai,18,Female
131,Customer 131,Hyderabad,26,Female
132,Customer 132,Bengaluru,29,Male
133,Customer 133,Thrissur,31,Female
134,Customer 134,Thrissur,24,Female
135,Customer 135,Thrissur,18,Female
136,Customer 136,Chennai,50,Female
137,Customer 137,Malappuram,64,Male
138,Customer 138,Kozhikode,23,Male
139,Customer 139,Malappuram,32,Female
140,Customer 140,Kochi,42,Other
141,Customer 141,Kochi,62,Male
142,Customer 142,Kochi,51,Female
143,Customer 143,Chennai,54,Male
144,Customer 144,Bengaluru,45,Female
145,Customer 145,Bengaluru,38,Other
146,Customer 146,Thrissur,27,Male
147,Customer 147,Bengaluru,59,Male
148,Customer 148,Kozhikode,56,Female
149,Customer 149,Hyderabad,19,Male
150,Customer 150,Kannur,52,Female
151,Customer 151,Hyderabad,22,Female
152,Customer 152,Kozhikode,53,Female
153,Customer 153,Thrissur,57,Male
154,Customer 154,Bengaluru,24,Female
155,Customer 155,Thrissur,38,Male
156,Customer 156,Thrissur,23,Male
157,Customer 157,Kozhikode,45,Female
158,Customer 158,Thrissur,62,Female
159,Customer 159,Kozhikode,21,Female
160,Customer 160,Malappuram,37,Male
161,Customer 161,Bengaluru,64,Male
162,Customer 162,Bengaluru,32,Female
163,Customer 163,Kannur,24,Male
164,Customer 164,Malappuram,41,Female
165,Customer 165,Hyderabad,42,Male
166,Customer 166,Kochi,49,Male
167,Customer 167,Malappuram,33,Male
168,Customer 168,Kochi,63,Male
169,Customer 169,Malappuram,43,Male
170,Customer 170,Hyderabad,31,Female
171,Customer 171,Malappuram,64,Female
172,Customer 172,Hyderabad,62,Female
173,Customer 173,Thrissur,41,Male
174,Customer 174,Bengaluru,19,Male
175,Customer 175,Thrissur,46,Male
176,Customer 176,Malappuram,44,Male
177,Customer 177,Chennai,25,Female
178,Customer 178,Hyderabad,48,Male
179,Customer 179,Malappuram,58,Female
180,Customer 180,Chennai,23,Female
181,Customer 181,Malappuram,52,Male
182,Customer 182,Bengaluru,24,Other
183,Customer 183,Chennai,53,Male
184,Customer 184,Thrissur,38,Female
185,Customer 185,Bengaluru,18,Male
186,Customer 186,Malappuram,64,Female
187,Customer 187,Kochi,25,Male
188,Customer 188,Kochi,46,Male
189,Customer 189,Thrissur,26,Female
190,Customer 190,Hyderabad,62,Female
191,Customer 191,Kozhikode,53,Female
192,Customer 192,Thrissur,56,Other
193,Customer 193,Bengaluru,38,Female
194,Customer 194,Kozhikode,40,Male
195,Customer 195,Bengaluru,48,Male
196,Customer 196,Malappuram,55,Male
197,Customer 197,Chennai,58,Female
198,Customer 198,Kannur,18,Male
199,Customer 199,Kannur,49,Female
200,Customer 200,Kozhikode,23,Male
201,Customer 201,Thrissur,31,Male
202,Customer 202,Chennai,57,Male
203,Customer 203,Kochi,30,Male
204,Customer 204,Chennai,56,Female
205,Customer 205,Thrissur,40,Male
206,Customer 206,Bengaluru,29,Female
207,Customer 207,Bengaluru,34,Female
208,Customer 208,Thrissur,43,Female
209,Customer 209,Malappuram,54,Female
210,Customer 210,Bengaluru,47,Female
211,Customer 211,Kozhikode,62,Female
212,Customer 212,Kannur,59,Female
213,Customer 213,Kochi,54,Male
214,Customer 214,Bengaluru,46,Male
215,Customer 215,Bengaluru,31,Female
216,Customer 216,Kochi,37,Female
217,Customer 217,Chennai,23,Female
218,Customer 218,Thrissur,35,Male
219,Customer 219,Chennai,62,Female
220,Customer 220,Kochi,38,Female
221,Customer 221,Kozhikode,23,Female
222,Customer 222,Thrissur,49,Female
223,Customer 223,Kozhikode,64,Female
224,Customer 224,Malappuram,59,Male
225,Customer 225,Bengaluru,31,Male
226,Customer 226,Kozhikode,39,Male
227,Customer 227,Bengaluru,43,Male
228,Customer 228,Kochi,29,Male
229,Customer 229,Kozhikode,30,Female
230,Customer 230,Kannur,29,Male
231,Customer 231,Chennai,65,Male
232,Customer 232,Kozhikode,53,Female
233,Customer 233,Malappuram,58,Male
234,Customer 234,Hyderabad,57,Female
235,Customer 235,Hyderabad,64,Male
236,Customer 236,Kannur,23,Male
237,Customer 237,Thrissur,60,Male
238,Customer 238,Malappuram,21,Male
239,Customer 239,Kannur,40,Male
240,Customer 240,Kannur,46,Male
241,Customer 241,Malappuram,35,Male
242,Customer 242,Kochi,25,Female
243,Customer 243,Kozhikode,27,Male
244,Customer 244,Hyderabad,57,Male
245,Customer 245,Thrissur,33,Female
246,Customer 246,Thrissur,32,Female
247,Customer 247,Thrissur,62,Male
248,Customer 248,Chennai,24,Female
249,Customer 249,Kochi,61,Female
250,Customer 250,Kochi,62,Female
